agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Tina O'Connor,Ray White Annandale,Auction | Tina O'Connor,"20/34 Johnston Street,",ANNANDALE,NSW,2038,2,1,1,0,UPDATED,"Picture of 20/34 Johnston Street, ANNANDALE NSW 2038",Apartment / Unit / Flat
Tina O'Connor,Ray White Annandale,"For Sale | $2,650,000","117 Johnston Street,",ANNANDALE,NSW,2038,1,1,0,189m²,,"Picture of 117 Johnston Street, ANNANDALE NSW 2038",House
Tina O'Connor,Ray White Annandale,Auction | Tina O'Connor,"1/170 Nelson Street,",ANNANDALE,NSW,2038,2,1,1,0,UPDATED,"Picture of 1/170 Nelson Street, ANNANDALE NSW 2038",Apartment / Unit / Flat
Tina O'Connor,Ray White Annandale,Auction | Tina O'Connor,"20/34 Johnston Street,",ANNANDALE,NSW,2038,2,1,1,0,UPDATED,"Picture of 20/34 Johnston Street, ANNANDALE NSW 2038",Apartment / Unit / Flat
Tina O'Connor,Ray White Annandale,"For Sale | $2,650,000","117 Johnston Street,",ANNANDALE,NSW,2038,1,1,0,189m²,,"Picture of 117 Johnston Street, ANNANDALE NSW 2038",House
Tina O'Connor,Ray White Annandale,Auction | Tina O'Connor,"1/170 Nelson Street,",ANNANDALE,NSW,2038,2,1,1,0,UPDATED,"Picture of 1/170 Nelson Street, ANNANDALE NSW 2038",Apartment / Unit / Flat
Tina O'Connor,Ray White Annandale,Auction | Tina O'Connor,"20/34 Johnston Street,",ANNANDALE,NSW,2038,2,1,1,0,UPDATED,"Picture of 20/34 Johnston Street, ANNANDALE NSW 2038",Apartment / Unit / Flat
Ben Southwell,CobdenHayson Annandale,Contact Agent,"24 Annandale Street,",ANNANDALE,NSW,2038,5,3,2,293m²,NEW,"Picture of 24 Annandale Street, ANNANDALE NSW 2038",House
Julie Hatch,CobdenHayson Annandale,Contact Agent,"84 Nelson Street,",ANNANDALE,NSW,2038,2,1,0,126m²,NEW,Julie Hatch,House
Stephanie Zerial,CobdenHayson Annandale,Contact Agent,"22/268 Johnston Street,",ANNANDALE,NSW,2038,1,1,1,0,NEW,Stephanie Zerial,Apartment / Unit / Flat
Michael Hallit,Belle Property Annandale,Auction,"46 Wells Street,",ANNANDALE,NSW,2038,3,1,0,0,NEW,Michael Hallit,House
Matthew Hayson,CobdenHayson Balmain,Contact Agent,"137 Annandale Street,",ANNANDALE,NSW,2038,5,3,4,666m²,,Matthew Hayson,House
James Burke,Ray White Annandale,Auction | James Burke & Diana Vescio,"16/233A Johnston Street,",ANNANDALE,NSW,2038,2,2,2,0,AUCTION THU 13 FEB,James Burke,Apartment / Unit / Flat
Tina O'Connor,Ray White Annandale,Auction | Tina O'Connor,"72/268 Johnston Street,",ANNANDALE,NSW,2038,2,1,1,0,AUCTION THU 13 FEB,Tina O'Connor,Apartment / Unit / Flat
